Type,Word,Chapter,Start Verse,End Verse
Single,sink,5,7,
Single,knees,5,8,
Single,zebedee,5,10,
Single,pulled,5,11,
Single,cleansing,5,14,
Single,lonely,5,16,
Single,lowered,5,19,
Single,tiles,5,19,
Single,blasphemy,5,21,
Single,remarkable,5,26,
Single,booth,5,27,
Single,complained,5,30,
Single,sect,5,30,
Single,doctor,5,31,
Single,match,5,36,
Single,burst,5,37,
Single,pours,5,37,
Single,run,5,37,
Single,skins,5,37,
Single,grainfields,6,1,
Single,kernels,6,1,
Single,rub,6,1,
Single,unlawful,6,2,
Single,reason,6,7,
Single,completely,6,10,
Single,restored,6,10,
Single,stretch,6,10,
Single,discuss,6,11,
Single,mountainside,6,12,
Single,chose,6,13,
Single,designated,6,13,
Single,andrew,6,14,
Single,bartholomew,6,14,
Single,alphaeus,6,15,
Single,matthew,6,15,
Single,thomas,6,15,
Single,zealot,6,15,
Single,traitor,6,16,
Single,coastal,6,17,
Single,level,6,17,
Single,hunger,6,21,
Single,exclude,6,22,
Single,reject,6,22,
Single,leap,6,23,
Single,comfort,6,24,
Single,fed,6,25,
Single,mourn,6,25,
Single,bless,6,28,
Single,curse,6,28,
Single,mistreat,6,28,
Single,cheek,6,29,
Single,coat,6,29,
Single,slaps,6,29,
Single,withhold,6,29,
Single,repayment,6,34,
Single,ungrateful,6,35,
Single,condemned,6,37,
Single,lap,6,38,
Single,measured,6,38,
Single,pressed,6,38,
Single,pit,6,39,
Single,student,6,40,
Single,trained,6,40,
Single,attention,6,41,
Single,sawdust,6,41,
Single,clearly,6,42,
Single,hypocrite,6,42,
Single,remove,6,42,
Single,briers,6,44,
Single,figs,6,44,
Single,grapes,6,44,
Single,thornbushes,6,44,
Single,dug,6,48,
Single,collapsed,6,49,
Single,destruction,6,49,
Single,centurion's,7,2,
Single,valued,7,2,
Single,trouble,7,6,
Single,following,7,9,
Single,afterward,7,11,
Single,nain,7,11,
Single,bearers,7,14,
Single,bier,7,14,
Single,talk,7,15,
Single,deaf,7,22,
Single,report,7,22,
Single,reed,7,24,
Single,swayed,7,24,
Single,expensive,7,25,
Single,indulge,7,25,
Single,palaces,7,25,
Single,messenger,7,27,
Single,acknowledged,7,29,
Single,purpose,7,30,
Single,dance,7,32,
Single,dirge,7,32,
Single,marketplace,7,32,
Single,pipe,7,32,
Single,played,7,32,
Single,sang,7,32,
Single,drunkard,7,34,
Single,glutton,7,34,
Single,proved,7,35,
Single,alabaster,7,37,
Single,touching,7,39,
Single,moneylender,7,41,
Single,debts,7,42,
Single,forgave,7,42,
Single,debt,7,43,
Single,kissing,7,45,
Single,forgives,7,49,
Single,chuza,8,3,
Single,helping,8,3,
Single,household,8,3,
Single,means,8,3,
Single,support,8,3,
Single,susanna,8,3,
Single,farmer,8,5,
Single,scattering,8,5,
Single,moisture,8,6,
Single,withered,8,6,
Single,sown,8,8,
Single,parables,8,10,
Single,secrets,8,10,
Single,testing,8,13,
Single,life's,8,14,
Single,mature,8,14,
Single,pleasures,8,14,
Single,worries,8,14,
Single,persevering,8,15,
Single,retain,8,15,
Single,clay,8,16,
Single,hides,8,16,
Single,danger,8,23,
Single,squall,8,23,
Single,swamped,8,23,
Single,calm,8,24,
Single,drown,8,24,
Single,raging,8,24,
Single,storm,8,24,
Single,subsided,8,24,
Single,waters,8,24,
Single,we're,8,24,
Single,woke,8,24,
Single,winds,8,25,
Single,across,8,26,
Single,ashore,8,27,
Single,stepped,8,27,
Single,worn,8,27,
Single,torture,8,28,
Single,chained,8,29,
Single,chains,8,29,
Single,driven,8,29,
Single,legion,8,30,
